age,gender,time_spent,PLATFORM,interests,location,demographics,profession,income,indebt,isHomeOwner,Owns_Car,demographics-PLATFORM
38,female,24:00:00,YOUTUBE,Sports,Australia,Sub_Urban,Software Engineer,"$16,240",True,True,True,Sub_Urban-YOUTUBE
50,non-binary,216:00:00,INSTAGRAM,Sports,United Kingdom,Rural,Software Engineer,"$11,893",True,False,False,Rural-INSTAGRAM
29,non-binary,216:00:00,FACEBOOK,Travel,Australia,Rural,Student,"$15,322",True,False,True,Rural-FACEBOOK
39,male,48:00:00,INSTAGRAM,Lifestlye,Australia,Urban,Software Engineer,"$17,718",True,False,False,Urban-INSTAGRAM
61,female,72:00:00,FACEBOOK,Lifestlye,Australia,Sub_Urban,Marketer Manager,"$16,878",True,False,False,Sub_Urban-FACEBOOK
42,male,120:00:00,YOUTUBE,Travel,Australia,Urban,Software Engineer,"$11,125",True,False,True,Urban-YOUTUBE
44,non-binary,120:00:00,YOUTUBE,Sports,Australia,Sub_Urban,Software Engineer,"$13,117",False,False,True,Sub_Urban-YOUTUBE
59,male,24:00:00,FACEBOOK,Sports,United States,Urban,Marketer Manager,"$14,161",False,False,True,Urban-FACEBOOK
45,male,192:00:00,FACEBOOK,Lifestlye,United States,Rural,Software Engineer,"$14,042",True,False,True,Rural-FACEBOOK
33,female,192:00:00,INSTAGRAM,Lifestlye,United States,Urban,Software Engineer,"$14,433",False,True,True,Urban-INSTAGRAM
32,female,96:00:00,YOUTUBE,Travel,United Kingdom,Sub_Urban,Software Engineer,"$18,638",True,True,True,Sub_Urban-YOUTUBE
64,non-binary,168:00:00,INSTAGRAM,Lifestlye,Australia,Sub_Urban,Software Engineer,"$12,658",True,True,False,Sub_Urban-INSTAGRAM
61,male,72:00:00,INSTAGRAM,Travel,United States,Rural,Marketer Manager,"$13,483",False,True,False,Rural-INSTAGRAM
20,male,144:00:00,INSTAGRAM,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,"$12,944",True,False,False,Sub_Urban-INSTAGRAM
54,male,216:00:00,YOUTUBE,Lifestlye,United States,Urban,Marketer Manager,"$17,210",True,True,False,Urban-YOUTUBE
24,non-binary,24:00:00,INSTAGRAM,Lifestlye,United States,Rural,Software Engineer,"$17,653",True,False,True,Rural-INSTAGRAM
38,non-binary,120:00:00,INSTAGRAM,Sports,Australia,Sub_Urban,Software Engineer,"$18,787",True,True,True,Sub_Urban-INSTAGRAM
26,female,96:00:00,INSTAGRAM,Sports,United Kingdom,Sub_Urban,Software Engineer,"$11,986",True,False,False,Sub_Urban-INSTAGRAM
56,female,192:00:00,INSTAGRAM,Sports,Australia,Urban,Software Engineer,"$11,074",True,False,False,Urban-INSTAGRAM
35,female,24:00:00,INSTAGRAM,Lifestlye,Australia,Urban,Marketer Manager,"$14,305",True,True,False,Urban-INSTAGRAM
21,male,216:00:00,INSTAGRAM,Travel,United States,Rural,Marketer Manager,"$13,007",False,True,True,Rural-INSTAGRAM
42,male,144:00:00,YOUTUBE,Travel,Australia,Sub_Urban,Marketer Manager,"$10,969",False,False,True,Sub_Urban-YOUTUBE
31,female,96:00:00,INSTAGRAM,Travel,United Kingdom,Urban,Student,"$18,772",True,False,True,Urban-INSTAGRAM
26,male,216:00:00,FACEBOOK,Travel,Australia,Rural,Software Engineer,"$12,824",False,False,False,Rural-FACEBOOK
43,female,120:00:00,INSTAGRAM,Sports,Australia,Sub_Urban,Software Engineer,"$11,211",True,True,False,Sub_Urban-INSTAGRAM
19,non-binary,120:00:00,INSTAGRAM,Sports,Australia,Sub_Urban,Marketer Manager,"$10,229",True,True,True,Sub_Urban-INSTAGRAM
37,female,120:00:00,YOUTUBE,Lifestlye,United States,Rural,Student,"$14,284",True,False,True,Rural-YOUTUBE
45,non-binary,24:00:00,YOUTUBE,Lifestlye,United Kingdom,Rural,Software Engineer,"$13,185",True,True,False,Rural-YOUTUBE
64,male,24:00:00,FACEBOOK,Travel,United States,Urban,Marketer Manager,"$10,501",False,False,False,Urban-FACEBOOK
24,female,192:00:00,FACEBOOK,Sports,United States,Sub_Urban,Software Engineer,"$10,048",False,True,True,Sub_Urban-FACEBOOK
61,male,192:00:00,YOUTUBE,Travel,United States,Sub_Urban,Software Engineer,"$13,566",False,True,False,Sub_Urban-YOUTUBE
25,non-binary,144:00:00,YOUTUBE,Lifestlye,United States,Sub_Urban,Marketer Manager,"$13,055",False,True,True,Sub_Urban-YOUTUBE
64,non-binary,96:00:00,INSTAGRAM,Lifestlye,United States,Rural,Marketer Manager,"$18,880",True,True,True,Rural-INSTAGRAM
52,non-binary,48:00:00,YOUTUBE,Travel,United Kingdom,Urban,Software Engineer,"$10,386",False,True,False,Urban-YOUTUBE
31,male,48:00:00,FACEBOOK,Lifestlye,Australia,Sub_Urban,Software Engineer,"$10,969",True,False,False,Sub_Urban-FACEBOOK
34,male,216:00:00,INSTAGRAM,Travel,United States,Rural,Marketer Manager,"$19,197",True,False,False,Rural-INSTAGRAM
53,male,120:00:00,FACEBOOK,Sports,United States,Sub_Urban,Software Engineer,"$15,820",False,True,True,Sub_Urban-FACEBOOK
57,male,96:00:00,INSTAGRAM,Travel,United Kingdom,Urban,Software Engineer,"$13,052",True,False,False,Urban-INSTAGRAM
21,non-binary,24:00:00,YOUTUBE,Sports,United Kingdom,Sub_Urban,Marketer Manager,"$17,397",False,False,False,Sub_Urban-YOUTUBE
19,non-binary,168:00:00,FACEBOOK,Sports,Australia,Urban,Software Engineer,"$12,302",False,True,True,Urban-FACEBOOK
23,female,72:00:00,INSTAGRAM,Lifestlye,United Kingdom,Urban,Software Engineer,"$12,283",False,False,True,Urban-INSTAGRAM
59,female,144:00:00,INSTAGRAM,Lifestlye,Australia,Sub_Urban,Student,"$19,799",False,True,False,Sub_Urban-INSTAGRAM
21,male,120:00:00,YOUTUBE,Lifestlye,United States,Sub_Urban,Marketer Manager,"$14,366",False,False,True,Sub_Urban-YOUTUBE
46,non-binary,120:00:00,YOUTUBE,Travel,United States,Urban,Student,"$10,122",True,False,True,Urban-YOUTUBE
35,non-binary,120:00:00,YOUTUBE,Travel,Australia,Rural,Student,"$16,799",False,False,True,Rural-YOUTUBE
43,non-binary,24:00:00,FACEBOOK,Lifestlye,United Kingdom,Urban,Student,"$19,472",False,False,False,Urban-FACEBOOK
61,female,24:00:00,INSTAGRAM,Travel,Australia,Sub_Urban,Software Engineer,"$13,727",True,False,False,Sub_Urban-INSTAGRAM
51,female,72:00:00,YOUTUBE,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,"$18,450",False,False,True,Sub_Urban-YOUTUBE
27,non-binary,96:00:00,FACEBOOK,Travel,United States,Rural,Student,"$19,139",False,False,True,Rural-FACEBOOK
53,non-binary,120:00:00,FACEBOOK,Sports,United Kingdom,Urban,Student,"$14,958",True,True,True,Urban-FACEBOOK
31,non-binary,48:00:00,FACEBOOK,Sports,Australia,Urban,Student,"$10,524",True,True,False,Urban-FACEBOOK
48,female,192:00:00,YOUTUBE,Lifestlye,Australia,Urban,Software Engineer,"$19,079",False,True,True,Urban-YOUTUBE
32,non-binary,48:00:00,YOUTUBE,Travel,United States,Sub_Urban,Student,"$18,399",True,True,True,Sub_Urban-YOUTUBE
25,non-binary,216:00:00,INSTAGRAM,Travel,United Kingdom,Urban,Student,"$10,148",False,False,False,Urban-INSTAGRAM
31,male,48:00:00,INSTAGRAM,Sports,United Kingdom,Rural,Marketer Manager,"$18,001",True,False,True,Rural-INSTAGRAM
40,male,216:00:00,YOUTUBE,Sports,United Kingdom,Sub_Urban,Marketer Manager,"$10,437",False,False,False,Sub_Urban-YOUTUBE
57,female,168:00:00,FACEBOOK,Lifestlye,United States,Sub_Urban,Software Engineer,"$13,749",False,True,False,Sub_Urban-FACEBOOK
38,non-binary,192:00:00,FACEBOOK,Sports,United Kingdom,Urban,Marketer Manager,"$18,186",False,True,False,Urban-FACEBOOK
33,non-binary,48:00:00,FACEBOOK,Lifestlye,Australia,Rural,Marketer Manager,"$14,453",True,True,True,Rural-FACEBOOK
62,male,168:00:00,INSTAGRAM,Sports,United Kingdom,Sub_Urban,Marketer Manager,"$15,336",False,False,True,Sub_Urban-INSTAGRAM
35,female,144:00:00,FACEBOOK,Sports,United States,Sub_Urban,Software Engineer,"$14,551",True,True,False,Sub_Urban-FACEBOOK
64,male,96:00:00,INSTAGRAM,Travel,United Kingdom,Urban,Marketer Manager,"$12,823",False,False,True,Urban-INSTAGRAM
41,male,168:00:00,INSTAGRAM,Sports,United Kingdom,Urban,Software Engineer,"$15,728",False,True,False,Urban-INSTAGRAM
43,male,96:00:00,FACEBOOK,Sports,Australia,Rural,Student,"$18,677",False,False,True,Rural-FACEBOOK
42,male,48:00:00,FACEBOOK,Lifestlye,United Kingdom,Urban,Marketer Manager,"$18,391",False,True,False,Urban-FACEBOOK
62,non-binary,168:00:00,YOUTUBE,Sports,Australia,Rural,Software Engineer,"$11,982",False,False,False,Rural-YOUTUBE
58,non-binary,192:00:00,YOUTUBE,Lifestlye,Australia,Sub_Urban,Marketer Manager,"$16,996",True,True,True,Sub_Urban-YOUTUBE
46,male,48:00:00,FACEBOOK,Sports,United States,Rural,Student,"$19,663",True,True,True,Rural-FACEBOOK
32,female,120:00:00,INSTAGRAM,Sports,Australia,Rural,Software Engineer,"$12,311",True,False,True,Rural-INSTAGRAM
62,female,24:00:00,INSTAGRAM,Lifestlye,Australia,Rural,Software Engineer,"$17,225",False,False,True,Rural-INSTAGRAM
18,female,168:00:00,INSTAGRAM,Travel,United States,Sub_Urban,Software Engineer,"$19,713",False,True,False,Sub_Urban-INSTAGRAM
42,female,192:00:00,INSTAGRAM,Lifestlye,Australia,Urban,Student,"$10,604",True,False,False,Urban-INSTAGRAM
24,male,144:00:00,INSTAGRAM,Lifestlye,United States,Sub_Urban,Student,"$18,175",False,True,True,Sub_Urban-INSTAGRAM
26,non-binary,120:00:00,YOUTUBE,Lifestlye,United Kingdom,Urban,Student,"$15,785",False,False,True,Urban-YOUTUBE
41,female,144:00:00,FACEBOOK,Travel,United States,Rural,Software Engineer,"$19,609",False,True,False,Rural-FACEBOOK
18,male,48:00:00,YOUTUBE,Sports,Australia,Rural,Student,"$14,597",True,False,True,Rural-YOUTUBE
61,female,24:00:00,INSTAGRAM,Lifestlye,United States,Rural,Marketer Manager,"$17,759",True,True,True,Rural-INSTAGRAM
25,female,168:00:00,INSTAGRAM,Lifestlye,Australia,Rural,Student,"$17,532",True,True,True,Rural-INSTAGRAM
41,male,168:00:00,INSTAGRAM,Travel,United Kingdom,Rural,Software Engineer,"$18,740",True,True,True,Rural-INSTAGRAM
28,non-binary,48:00:00,INSTAGRAM,Lifestlye,United States,Urban,Marketer Manager,"$10,838",True,False,False,Urban-INSTAGRAM
34,non-binary,48:00:00,FACEBOOK,Sports,United Kingdom,Urban,Student,"$13,815",False,True,False,Urban-FACEBOOK
25,male,24:00:00,INSTAGRAM,Travel,Australia,Rural,Marketer Manager,"$10,847",False,False,True,Rural-INSTAGRAM
52,non-binary,192:00:00,FACEBOOK,Sports,Australia,Sub_Urban,Marketer Manager,"$14,709",False,False,False,Sub_Urban-FACEBOOK
52,male,192:00:00,INSTAGRAM,Sports,United Kingdom,Sub_Urban,Software Engineer,"$14,507",False,False,True,Sub_Urban-INSTAGRAM
50,male,24:00:00,FACEBOOK,Travel,United States,Rural,Marketer Manager,"$16,575",True,True,True,Rural-FACEBOOK
22,male,192:00:00,YOUTUBE,Lifestlye,United States,Urban,Marketer Manager,"$14,773",True,False,True,Urban-YOUTUBE
59,non-binary,216:00:00,INSTAGRAM,Sports,Australia,Sub_Urban,Software Engineer,"$14,468",False,False,False,Sub_Urban-INSTAGRAM
56,male,96:00:00,FACEBOOK,Sports,United Kingdom,Sub_Urban,Software Engineer,"$15,192",True,False,False,Sub_Urban-FACEBOOK
58,female,24:00:00,YOUTUBE,Sports,United Kingdom,Sub_Urban,Software Engineer,"$13,320",False,True,False,Sub_Urban-YOUTUBE
45,non-binary,24:00:00,INSTAGRAM,Sports,United States,Rural,Marketer Manager,"$14,698",False,False,False,Rural-INSTAGRAM
24,non-binary,72:00:00,INSTAGRAM,Travel,United States,Sub_Urban,Marketer Manager,"$14,311",False,False,False,Sub_Urban-INSTAGRAM
26,non-binary,120:00:00,INSTAGRAM,Travel,United States,Sub_Urban,Marketer Manager,"$13,673",False,False,True,Sub_Urban-INSTAGRAM
25,non-binary,120:00:00,FACEBOOK,Sports,United Kingdom,Sub_Urban,Software Engineer,"$11,564",True,False,True,Sub_Urban-FACEBOOK
29,female,216:00:00,FACEBOOK,Lifestlye,United States,Sub_Urban,Student,"$11,840",False,True,False,Sub_Urban-FACEBOOK
51,non-binary,48:00:00,YOUTUBE,Sports,United States,Urban,Marketer Manager,"$16,058",True,True,False,Urban-YOUTUBE
50,non-binary,48:00:00,FACEBOOK,Lifestlye,Australia,Rural,Student,"$17,131",False,False,False,Rural-FACEBOOK
40,male,144:00:00,FACEBOOK,Sports,United States,Rural,Software Engineer,"$10,726",False,False,True,Rural-FACEBOOK
41,non-binary,216:00:00,INSTAGRAM,Lifestlye,United States,Urban,Marketer Manager,"$19,436",False,False,False,Urban-INSTAGRAM
54,female,24:00:00,INSTAGRAM,Sports,United Kingdom,Urban,Student,"$16,697",False,False,True,Urban-INSTAGRAM
52,female,216:00:00,INSTAGRAM,Lifestlye,United Kingdom,Rural,Marketer Manager,"$19,257",True,True,True,Rural-INSTAGRAM
61,female,216:00:00,INSTAGRAM,Sports,Australia,Sub_Urban,Marketer Manager,"$10,282",False,True,False,Sub_Urban-INSTAGRAM
57,female,216:00:00,INSTAGRAM,Sports,United States,Sub_Urban,Marketer Manager,"$11,081",True,True,True,Sub_Urban-INSTAGRAM
39,non-binary,120:00:00,INSTAGRAM,Lifestlye,Australia,Rural,Student,"$13,885",False,True,True,Rural-INSTAGRAM
44,non-binary,216:00:00,INSTAGRAM,Travel,United Kingdom,Sub_Urban,Software Engineer,"$12,881",False,False,False,Sub_Urban-INSTAGRAM
52,female,96:00:00,YOUTUBE,Lifestlye,Australia,Urban,Marketer Manager,"$12,970",False,False,True,Urban-YOUTUBE
18,female,48:00:00,YOUTUBE,Travel,United Kingdom,Sub_Urban,Software Engineer,"$19,344",True,True,False,Sub_Urban-YOUTUBE
52,non-binary,144:00:00,YOUTUBE,Sports,Australia,Sub_Urban,Software Engineer,"$16,985",False,True,True,Sub_Urban-YOUTUBE
54,female,96:00:00,YOUTUBE,Lifestlye,Australia,Sub_Urban,Student,"$10,947",False,False,False,Sub_Urban-YOUTUBE
64,male,144:00:00,INSTAGRAM,Lifestlye,United States,Rural,Student,"$14,760",False,False,False,Rural-INSTAGRAM
31,female,72:00:00,YOUTUBE,Lifestlye,Australia,Urban,Software Engineer,"$19,909",False,False,True,Urban-YOUTUBE
20,female,144:00:00,INSTAGRAM,Travel,United States,Sub_Urban,Marketer Manager,"$10,066",False,False,False,Sub_Urban-INSTAGRAM
18,male,48:00:00,YOUTUBE,Travel,United States,Rural,Student,"$18,828",True,False,True,Rural-YOUTUBE
22,male,48:00:00,FACEBOOK,Sports,United States,Sub_Urban,Marketer Manager,"$18,505",True,True,True,Sub_Urban-FACEBOOK
43,non-binary,216:00:00,YOUTUBE,Travel,United States,Urban,Marketer Manager,"$10,564",False,True,False,Urban-YOUTUBE
31,non-binary,168:00:00,YOUTUBE,Travel,Australia,Sub_Urban,Marketer Manager,"$19,793",False,False,True,Sub_Urban-YOUTUBE
56,male,72:00:00,INSTAGRAM,Sports,United Kingdom,Urban,Software Engineer,"$19,017",True,False,False,Urban-INSTAGRAM
44,male,24:00:00,YOUTUBE,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,"$13,670",False,True,True,Sub_Urban-YOUTUBE
26,non-binary,192:00:00,FACEBOOK,Lifestlye,United Kingdom,Urban,Software Engineer,"$19,217",True,False,True,Urban-FACEBOOK
32,female,144:00:00,INSTAGRAM,Sports,Australia,Sub_Urban,Software Engineer,"$12,251",False,True,False,Sub_Urban-INSTAGRAM
32,male,168:00:00,INSTAGRAM,Lifestlye,United States,Urban,Marketer Manager,"$10,804",False,True,True,Urban-INSTAGRAM
43,non-binary,216:00:00,YOUTUBE,Travel,United Kingdom,Sub_Urban,Marketer Manager,"$14,631",True,True,True,Sub_Urban-YOUTUBE
59,female,120:00:00,INSTAGRAM,Sports,Australia,Sub_Urban,Marketer Manager,"$19,583",False,True,True,Sub_Urban-INSTAGRAM
30,male,24:00:00,INSTAGRAM,Sports,United States,Rural,Marketer Manager,"$11,235",True,False,True,Rural-INSTAGRAM
49,female,168:00:00,INSTAGRAM,Sports,United Kingdom,Rural,Software Engineer,"$16,720",True,False,True,Rural-INSTAGRAM
56,non-binary,120:00:00,INSTAGRAM,Lifestlye,United States,Urban,Marketer Manager,"$16,906",True,True,True,Urban-INSTAGRAM
49,male,72:00:00,INSTAGRAM,Sports,United Kingdom,Sub_Urban,Marketer Manager,"$16,016",False,False,True,Sub_Urban-INSTAGRAM
21,female,216:00:00,INSTAGRAM,Sports,United Kingdom,Urban,Software Engineer,"$13,549",True,False,True,Urban-INSTAGRAM
47,male,24:00:00,FACEBOOK,Sports,United Kingdom,Rural,Student,"$17,938",True,False,False,Rural-FACEBOOK
54,female,24:00:00,YOUTUBE,Lifestlye,United States,Urban,Student,"$14,141",False,False,True,Urban-YOUTUBE
40,non-binary,24:00:00,FACEBOOK,Travel,Australia,Urban,Software Engineer,"$16,966",False,True,True,Urban-FACEBOOK
56,non-binary,72:00:00,INSTAGRAM,Sports,United States,Rural,Student,"$19,546",False,False,False,Rural-INSTAGRAM
62,male,144:00:00,INSTAGRAM,Travel,United Kingdom,Sub_Urban,Software Engineer,"$15,335",False,True,False,Sub_Urban-INSTAGRAM
32,female,72:00:00,YOUTUBE,Lifestlye,United States,Urban,Marketer Manager,"$15,077",False,True,False,Urban-YOUTUBE
60,male,192:00:00,FACEBOOK,Lifestlye,Australia,Rural,Marketer Manager,"$15,611",False,False,True,Rural-FACEBOOK
46,male,48:00:00,YOUTUBE,Lifestlye,United States,Sub_Urban,Student,"$18,089",True,True,False,Sub_Urban-YOUTUBE
53,female,216:00:00,FACEBOOK,Lifestlye,Australia,Rural,Marketer Manager,"$12,892",False,False,False,Rural-FACEBOOK
30,female,72:00:00,INSTAGRAM,Travel,Australia,Urban,Student,"$15,577",True,False,True,Urban-INSTAGRAM
49,female,120:00:00,YOUTUBE,Sports,United States,Sub_Urban,Student,"$13,618",False,True,True,Sub_Urban-YOUTUBE
24,non-binary,192:00:00,YOUTUBE,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,"$11,559",True,False,False,Sub_Urban-YOUTUBE
39,male,48:00:00,INSTAGRAM,Lifestlye,Australia,Rural,Marketer Manager,"$16,683",True,True,False,Rural-INSTAGRAM
45,male,144:00:00,YOUTUBE,Travel,United States,Rural,Student,"$11,507",False,True,True,Rural-YOUTUBE
19,non-binary,120:00:00,FACEBOOK,Travel,Australia,Rural,Marketer Manager,"$12,063",False,False,True,Rural-FACEBOOK
59,female,216:00:00,FACEBOOK,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,"$13,642",True,False,True,Sub_Urban-FACEBOOK
62,non-binary,120:00:00,FACEBOOK,Sports,United States,Sub_Urban,Marketer Manager,"$12,000",False,False,True,Sub_Urban-FACEBOOK
23,non-binary,48:00:00,FACEBOOK,Sports,United States,Urban,Marketer Manager,"$11,294",False,True,True,Urban-FACEBOOK
45,non-binary,120:00:00,INSTAGRAM,Lifestlye,United States,Sub_Urban,Software Engineer,"$14,065",True,False,False,Sub_Urban-INSTAGRAM
45,male,96:00:00,YOUTUBE,Travel,United Kingdom,Urban,Marketer Manager,"$18,014",True,True,True,Urban-YOUTUBE
61,non-binary,168:00:00,FACEBOOK,Lifestlye,Australia,Rural,Marketer Manager,"$19,945",True,True,True,Rural-FACEBOOK
61,male,144:00:00,INSTAGRAM,Lifestlye,United States,Rural,Student,"$11,603",False,False,True,Rural-INSTAGRAM
37,male,48:00:00,YOUTUBE,Travel,Australia,Sub_Urban,Marketer Manager,"$11,322",False,False,True,Sub_Urban-YOUTUBE
47,male,120:00:00,YOUTUBE,Lifestlye,Australia,Rural,Marketer Manager,"$15,956",False,False,True,Rural-YOUTUBE
28,female,168:00:00,INSTAGRAM,Lifestlye,United Kingdom,Rural,Software Engineer,"$12,441",False,True,False,Rural-INSTAGRAM
45,male,168:00:00,INSTAGRAM,Lifestlye,United States,Sub_Urban,Student,"$11,098",True,False,True,Sub_Urban-INSTAGRAM
42,male,120:00:00,FACEBOOK,Travel,Australia,Urban,Student,"$15,073",False,True,False,Urban-FACEBOOK
56,female,216:00:00,YOUTUBE,Sports,United States,Sub_Urban,Student,"$19,697",True,False,True,Sub_Urban-YOUTUBE
50,male,96:00:00,YOUTUBE,Sports,United States,Urban,Marketer Manager,"$19,318",False,False,False,Urban-YOUTUBE
18,non-binary,72:00:00,INSTAGRAM,Travel,United Kingdom,Sub_Urban,Student,"$18,488",False,True,False,Sub_Urban-INSTAGRAM
44,non-binary,96:00:00,YOUTUBE,Sports,United States,Sub_Urban,Software Engineer,"$13,787",True,True,True,Sub_Urban-YOUTUBE
30,male,120:00:00,FACEBOOK,Lifestlye,United States,Rural,Student,"$12,096",False,False,True,Rural-FACEBOOK
58,female,144:00:00,YOUTUBE,Sports,Australia,Sub_Urban,Software Engineer,"$12,208",False,False,True,Sub_Urban-YOUTUBE
20,non-binary,72:00:00,INSTAGRAM,Lifestlye,United Kingdom,Sub_Urban,Student,"$15,988",True,False,True,Sub_Urban-INSTAGRAM
56,female,48:00:00,INSTAGRAM,Sports,United States,Urban,Student,"$10,175",False,False,True,Urban-INSTAGRAM
23,female,96:00:00,FACEBOOK,Travel,Australia,Rural,Software Engineer,"$17,169",True,False,False,Rural-FACEBOOK
25,non-binary,120:00:00,FACEBOOK,Sports,United Kingdom,Urban,Student,"$16,014",True,True,True,Urban-FACEBOOK
44,female,96:00:00,YOUTUBE,Sports,United Kingdom,Urban,Student,"$11,667",True,True,True,Urban-YOUTUBE
26,non-binary,72:00:00,YOUTUBE,Sports,Australia,Rural,Student,"$18,867",True,True,False,Rural-YOUTUBE
54,female,192:00:00,INSTAGRAM,Travel,Australia,Rural,Marketer Manager,"$11,823",False,True,True,Rural-INSTAGRAM
50,non-binary,96:00:00,FACEBOOK,Sports,Australia,Rural,Software Engineer,"$15,147",False,False,False,Rural-FACEBOOK
59,male,48:00:00,FACEBOOK,Travel,Australia,Sub_Urban,Student,"$11,356",False,True,True,Sub_Urban-FACEBOOK
61,non-binary,48:00:00,FACEBOOK,Lifestlye,Australia,Rural,Software Engineer,"$13,072",True,True,False,Rural-FACEBOOK
41,non-binary,24:00:00,YOUTUBE,Sports,United States,Rural,Software Engineer,"$13,259",False,True,True,Rural-YOUTUBE
32,non-binary,96:00:00,FACEBOOK,Travel,United States,Rural,Software Engineer,"$16,199",False,False,False,Rural-FACEBOOK
49,non-binary,216:00:00,INSTAGRAM,Travel,United Kingdom,Urban,Student,"$10,546",False,True,False,Urban-INSTAGRAM
49,female,168:00:00,INSTAGRAM,Sports,United States,Urban,Student,"$15,231",False,False,True,Urban-INSTAGRAM
41,male,168:00:00,YOUTUBE,Lifestlye,United States,Sub_Urban,Software Engineer,"$17,965",True,True,True,Sub_Urban-YOUTUBE
58,non-binary,168:00:00,YOUTUBE,Travel,United States,Urban,Marketer Manager,"$12,083",True,False,True,Urban-YOUTUBE
29,female,192:00:00,FACEBOOK,Sports,Australia,Sub_Urban,Software Engineer,"$12,040",False,True,False,Sub_Urban-FACEBOOK
56,male,24:00:00,YOUTUBE,Lifestlye,United Kingdom,Urban,Marketer Manager,"$14,534",True,False,False,Urban-YOUTUBE
19,male,192:00:00,INSTAGRAM,Travel,United Kingdom,Rural,Software Engineer,"$11,752",False,True,False,Rural-INSTAGRAM
20,male,96:00:00,FACEBOOK,Travel,United Kingdom,Urban,Software Engineer,"$19,807",False,False,True,Urban-FACEBOOK
54,male,96:00:00,INSTAGRAM,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,"$11,849",False,False,True,Sub_Urban-INSTAGRAM
34,non-binary,96:00:00,FACEBOOK,Lifestlye,United States,Urban,Student,"$12,642",True,True,False,Urban-FACEBOOK
19,non-binary,144:00:00,YOUTUBE,Sports,United States,Rural,Marketer Manager,"$11,600",False,False,True,Rural-YOUTUBE
19,female,168:00:00,FACEBOOK,Sports,Australia,Sub_Urban,Marketer Manager,"$14,402",True,False,False,Sub_Urban-FACEBOOK
45,female,144:00:00,FACEBOOK,Travel,United Kingdom,Rural,Software Engineer,"$13,799",True,True,True,Rural-FACEBOOK
